iteration,populationCount,mutationRate,crossOverRate,parentTournamentSize,migrationTournamentSize,offspringCount,islandCount,migrationTournamentSize,islandCount,migrationCount,migrationInterval,tau,tauPrime,adaptationBoundary
40,1,10.0,1.0,1,1,2,100,1,100,1,10000,1e-15,10.0,10.0
41,136,9.379934245519333,0.06226632722289861,88,2,302,99,2,99,95,9546,2.134334076080118e-15,0.05819211574324318,4.0331066315811883e-11
42,239,5.300871607957846,0.8829729531394332,27,3,17418,6,3,6,198,9655,8.684569136797785,4.629851724674166e-15,0.6478420553626251
43,949,0.22207862756003952,0.1571543054325625,920,851,25006,95,851,95,906,8691,8.297420285855992,0.5412355050155466,4.038067274826763
44,756,9.707372334588847,0.07322904196782078,667,85,2138,20,85,20,573,9448,1.4622295450652187e-13,1.1794674938918005e-10,9.811621904446664
45,8,9.977513646331213,0.8960971623911397,3,1,14,5,1,5,6,9451,0.0014756945269147794,0.03492696659689706,1.1589152508238968e-15
46,20,9.838514041534886,0.9958606348912523,19,1,1874,24,1,24,18,2668,1.9913965588048557,0.2825949144356165,5.790593285280318e-14
47,121,2.513418561393663,0.040798918847041905,21,61,8006,4,61,4,1,7773,3.05350508866617,0.05882029334070705,9.952060180742864
48,26,9.386336900556685,0.05356756852934631,8,1,460,86,1,86,9,9140,4.1546527772981417e-14,0.03865340363976915,7.203971468405746
49,1000,10.0,1.0,1000,1000,1000,100,1000,100,1000,10000,1e-15,10.0,10.0
