iteration,run,score
0,0,1.5914741900668052
0,1,0.732732484052892
0,2,0.7972404236416701
0,3,1.0240093880513332
0,4,0.8755637068172597
0,5,0.9226387475191604
0,6,2.8656190137147957
0,7,0.6033777272672431
0,8,2.249267314837362
0,9,1.6306954981423147
0,10,1.5874126523187782
0,11,0.3226529522487056
0,12,0.8655797051915974
0,13,1.281105346894352
0,14,3.467115430938994
0,15,0.09812128601296642
0,16,3.7217307747005823
0,17,1.0680583634598269
0,18,2.5948928925171373
0,19,2.945630516284935
0,20,0.7945455619306409
0,21,0.7863539578308514
0,22,0.8007325353475624
0,23,1.7026807390483136
0,24,0.19220669151646605
0,25,1.0010984797615796
0,26,0.12026401893521754
0,27,3.655521327791902
0,28,0.2194317971509101
0,29,1.159092738787695
0,30,0.706075427125993
0,31,0.24306118423985207
0,32,3.2610095490796303
0,33,0.9128480524108619
0,34,0.13746823104227823
0,35,3.27875234506138
0,36,0.3942313902654466
0,37,0.2179665584481612
0,38,0.24586826271302747
0,39,0.3097811410541871
0,40,1.1468303730340932
0,41,0.05064854260090103
0,42,0.34228735736380855
0,43,0.35604108495431724
0,44,0.03606042390873517
0,45,0.5652008479514726
0,46,1.3470976464696613
0,47,0.28951399350127577
0,48,2.212535874607372
0,49,1.0911073647571479
1,0,3.9742579682999497
1,1,1.3939760706658275
1,2,0.5376680138315774
1,3,4.388442137012559
1,4,1.353145918955365
1,5,2.92397244638381
1,6,4.992152891437521
1,7,4.2370153032679605
1,8,0.792074781900446
1,9,0.9444749938975876
1,10,2.6064300286021727
1,11,3.205238943322983
1,12,1.230487912292431
1,13,2.5993766447037974
1,14,1.2623032338586175
1,15,5.506217014345472
1,16,2.658741214948633
1,17,2.2849620750087873
1,18,1.510426263773754
1,19,2.2558766432940054
1,20,1.4981150277265605
1,21,0.9474410323311979
1,22,3.4829659707075313
1,23,1.6173971447736302
1,24,0.41275839895154787
1,25,1.2223444891285802
1,26,1.4889309712579015
1,27,3.876714697542534
1,28,0.9433317221078337
1,29,1.9818854095562963
1,30,1.3709804592337727
1,31,3.655287519625219
1,32,1.1692583631522055
1,33,0.3376111706469876
1,34,0.7715876994028623
1,35,2.4482631438017086
1,36,6.154809650510373
1,37,1.3575351085992744
1,38,2.4402529324857287
1,39,0.9723451052297737
1,40,3.169904078259169
1,41,0.7951619028782764
1,42,1.3084534223266702
1,43,2.5157670937878356
1,44,4.04253990791932
1,45,3.1284626481674134
1,46,1.7480333916187953
1,47,0.41418785920783346
1,48,1.5914886595418567
1,49,1.8165907532507872
2,0,5.073798577920851
2,1,1.5467473432014964
2,2,2.9548936158011267
2,3,2.6596132393132503
2,4,3.3773097251819313
2,5,3.1283013286730457
2,6,1.383742194311205
2,7,3.5685977238253392
2,8,2.950234435812345
2,9,2.4764126878838404
2,10,2.6822098035245467
2,11,1.6574302880883498
2,12,2.087068931432819
2,13,1.7766022611955106
2,14,3.8776739459491805
