iteration,populationCount,mutationRate,crossOverRate,parentTournamentSize,migrationTournamentSize,offspringCount,islandCount,migrationTournamentSize,islandCount,migrationCount,migrationInterval,tau,tauPrime,adaptationBoundary
35,1,0.2984265047396934,0.06671966460544984,1,1,10,1,1,1,0,40,6.638452528269491e-10,9.027886866225781e-12,8.039977537091785e-08
36,655,0.14586121709078298,0.34858616640172346,243,194,5748,1,194,1,336,40,4.4321358538449956e-13,3.1592161847181836e-10,1.5809089451559376e-06
37,123,0.13137605456740833,0.34566389832693856,51,104,1078,1,104,1,63,40,1.1085691535396096,9.491583946545953e-08,2.4955323647429937e-06
38,49,0.13341053818132992,0.3541955618793213,43,47,434,1,47,1,25,40,7.04953585514125e-09,8.692175506827004e-13,8.527354190272847e-12
39,701,0.0,0.4282902210389588,354,82,7362,1,82,1,335,40,1e-15,1.0065888198243752e-07,0.0005557167494454754
40,449,0.21986637761538672,0.325793869697223,234,219,39056,1,219,1,216,40,1.6309439109914154e-10,3.5201395211187483e-12,0.002159731212151466
41,59,0.47423135332327604,0.3206229902705837,53,12,76,1,12,1,27,40,5.790150645637604e-14,0.00032464145011051285,1.7874391395037402e-10
42,914,0.13976717799841498,0.9913616291307028,560,506,29266,1,506,1,474,40,2.1663855597707348e-07,8.219249111710922e-14,0.0006851940033638952
43,490,0.06730320532417401,0.6565761075587273,76,181,12372,1,181,1,264,40,4.711015563219026e-08,1.2624045048270414e-14,4.1028679615507514e-05
44,531,0.20929353070693493,0.5090760458307598,531,362,7862,1,362,1,270,40,0.9973767990290892,5.094166687454078e-11,1.5086676159158468e-08
45,926,0.22806863086250198,0.06651629999699202,926,623,4614,1,623,1,468,40,0.94488142616485,7.755754443842663e-13,0.004316257782127802
46,409,0.20662685883504167,0.7322640862500382,409,281,1310,1,281,1,132,40,5.12237927556188e-10,8.022480893308929e-05,4.045984274994951e-12
47,536,0.20530461331131097,0.5978137606132921,536,373,4806,1,373,1,151,40,0.9210770791672985,3.4474440680332373e-12,1.3407951182155987e-15
48,249,0.20194767289971327,0.9704756188786502,249,166,10244,1,166,1,132,40,5.031865986280709e-07,7.141625197857994e-11,7.916880583910108e-14
49,464,0.2001088277048636,0.4773990408878004,464,302,11316,1,302,1,245,40,1.991792552166299e-06,4.28277607183689e-15,4.2485860009082915e-06
50,39,0.28424952103913875,0.6619902718639585,39,37,840,1,37,1,19,40,0.8345291299430311,0.01701547087137091,7.3186206468537465e-09
51,709,0.2000326503218587,0.7184643785985735,709,480,11456,1,480,1,370,40,2.1726717420313217e-06,3.5327809564829434e-14,5.089119154000124e-13
52,774,0.21073523641293257,0.5639329378369093,533,571,1652,1,571,1,321,40,1.1937774575873292e-08,1e-15,2.9728739822548342e-08
