iteration,populationCount,mutationRate,crossOverRate,parentTournamentSize,migrationTournamentSize,offspringCount,islandCount,migrationTournamentSize,islandCount,migrationCount,migrationInterval,tau,tauPrime,adaptationBoundary
35,190,8.000442646106961,0.03336411385212142,31,17,974,1,17,1,101,40,2.785085020905821e-13,0.03193341890624736,0.20795437864814242
36,666,5.933991204854153,0.9060858955830836,524,326,666,1,326,1,462,40,0.05967247197095385,5.09411664812758,2.1768844823265273e-08
37,200,7.908886574682535,0.9223400153781313,68,17,994,1,17,1,53,40,6.25525358939687e-13,2.7282607091799536e-11,0.238687741129327
38,908,7.668687780379718,0.882982996730497,1,821,1204,1,821,1,280,40,1.0270444067202706,1.1690578376694831e-14,8.343836955824873e-06
39,217,6.152090727137373,0.8513789408001831,164,20,934,1,20,1,90,40,3.736731159332427e-12,2.857305878915731e-10,0.26295765613549865
40,196,7.417322212212324,0.19333078683394486,123,19,974,1,19,1,87,40,6.062539805121881e-12,1.4590180865423668e-09,0.21651476478994075
41,257,7.15692437576967,0.9225041198256461,181,29,3420,1,29,1,134,40,1.5597287209304882e-05,9.239222599407313e-15,0.030647994753188884
42,210,9.698967007706718,0.028075174377422383,175,100,936,1,100,1,175,40,1.0020302923175417e-11,1.835265482951685e-07,0.09413655834095415
43,468,8.965020952406409,0.3120922793354714,397,19,818,1,19,1,386,40,1e-15,9.918447314256698e-14,0.02576781020646673
44,256,5.752728411374307,0.605966629564583,189,29,990,1,29,1,256,40,2.4192266106167887e-14,8.401494524822527e-05,0.31345435491774426
45,52,6.00926691192872,0.029422105816066604,31,3,244,1,3,1,46,40,1e-15,1e-15,0.7064316904581588
46,186,1.9397388057252627,0.3354136256024138,144,15,538,1,15,1,183,40,1.3517825935870878e-12,1.4056951222194413e-08,0.6258705705272359
47,846,0.9909869012412194,0.4492260277596506,60,746,1404,1,746,1,9,40,1.1426528997345848e-07,10.0,9.645538351183148e-06
48,839,1.3569328248929915,0.5786464697397692,78,723,1342,1,723,1,32,40,2.3349192305149274e-06,0.004015274415907875,6.8692207762247596e-06
49,839,1.3728661767052048,0.8373718437607828,440,716,1298,1,716,1,69,40,1.488190949837312e-13,10.0,5.210142439949001e-06
50,229,9.819422506694654,0.7382868329425736,117,25,13610,1,25,1,224,40,7.545307426060586e-10,3.4596294559441145e-15,0.4235575847669044
51,199,9.944117808810741,0.05060049116322302,41,20,1034,1,20,1,114,40,2.5565184266880396,1.737139605860166e-08,0.13623679761924803
52,204,7.072947721720746,0.6945754606304552,129,26,638,1,26,1,10,40,7.364563652764019e-15,4.343915004652296e-08,0.34812215105470934
53,854,2.917032738826364,0.82472907002385,115,772,1516,1,772,1,24,40,4.3118907839180105e-07,10.0,1.5092705052774017e-05
54,238,7.767747314744558,0.7791041062645009,6,20,1150,1,20,1,238,40,4.3860625370041975e-14,1.601305900872265e-08,0.08406145540000551
55,846,0.0,0.1787004017018856,259,737,1398,1,737,1,28,40,2.6735582501243466e-06,10.0,7.763326960969678e-06
56,184,9.265573597867277,0.09185488410822229,1,19,888,1,19,1,67,40,3.410641257823494e-11,5.062842747118896e-09,0.1914842855876624
57,53,5.7759401671750465,0.4327376750540144,31,1,246,1,1,1,43,40,2.369770646288285e-12,0.007641309235879067,7.9399739718370625
58,378,0.6218350976882028,0.511366902706487,288,19,1916,1,19,1,378,40,0.00010013814242076936,2.3827645205780325e-10,0.14777787979526766
59,614,7.7878900613198425,0.36753009602492254,68,23,2964,1,23,1,614,40,3.4875881713617497e-09,2.5818881952403917e-10,0.1160147171252049
