iteration,populationCount,mutationRate,crossOverRate,parentTournamentSize,migrationTournamentSize,offspringCount,islandCount,migrationTournamentSize,islandCount,migrationCount,migrationInterval,tau,tauPrime,adaptationBoundary
35,718,5.647019470010822,0.6015327066441277,185,31,5870,1,31,1,641,40,1.4488554115450513e-07,4.2346338142258766e-10,1.525566700068283
36,242,9.008279309348653,0.5974569309538986,136,53,1988,1,53,1,216,40,1.4230212324955362e-13,4.083773206700908e-08,2.7457424245953407e-14
37,306,7.967471092581681,0.2790863511262684,113,227,13434,1,227,1,161,40,2.0781100007381698e-13,5.5935062099897956e-05,0.31602114829571804
38,141,8.58717211534288,0.6964959645028882,122,125,2514,1,125,1,47,40,1.0005952501214896e-07,2.2041491693289333e-15,0.2865134265639164
39,102,9.24085193694996,0.485834899353393,60,30,1270,1,30,1,35,40,1.7404204107499322e-05,2.499277560936465e-12,0.34559295977393445
40,395,7.419616364139179,0.7376926105743553,27,25,3242,1,25,1,251,40,1e-15,3.823022529254734e-12,0.3356422216339467
41,308,6.275843924686486,0.8003099177444651,89,18,1542,1,18,1,217,40,1e-15,2.0226553180367337e-12,0.342150470843611
42,97,8.816402305563285,0.6940811872161154,4,10,5148,1,10,1,41,40,1e-15,1.541859942139213e-07,0.3440755075327015
43,385,7.360741390405757,0.22249140907984302,132,178,23130,1,178,1,97,40,1e-15,7.33549667321346e-13,0.34955867787587414
44,544,7.989638489688623,0.843450243323579,492,53,6512,1,53,1,528,40,0.13735254226732332,7.798935708864187e-11,0.3402535055037044
45,223,0.4942401181746237,0.6832585763425005,1,199,1276,1,199,1,83,40,1.6892721197940894e-10,5.212719002551037,0.3092767734343759
46,859,4.796857973687468,0.006017981772446781,1,561,2996,1,561,1,277,40,5.86589341151656e-13,10.0,0.1783602314859102
47,340,8.611696957937534,0.7078026576531844,1,1,20302,1,1,1,10,40,6.700264996169937e-10,6.589813394605241e-11,0.3236246363997495
48,351,5.35138580072242,0.9866193656591729,249,250,3330,1,250,1,203,40,1e-15,4.270334999803042e-15,0.24778026627794206
49,303,2.1744440131608336,0.27073660749433087,1,1,3094,1,1,1,301,40,0.020865581142591936,0.019313249221157902,0.24908760202342278
50,4,6.47791389294925,0.6980181207468348,1,1,156,1,1,1,0,40,2.2416216344914463e-13,1.6187914732299283e-11,0.2714991686372782
51,557,9.522417591778023,0.5681183404886553,1,171,7222,1,171,1,557,40,3.179436528810693e-13,6.573781587580342e-07,0.2643462943015613
52,615,4.082358060267327,0.5193184515115702,1,314,3358,1,314,1,115,40,0.0021080661166235854,7.903719779329786e-08,0.2564699018354153
53,413,5.96227190981109,0.7699236608350446,1,171,13666,1,171,1,84,40,4.27529492122739e-06,3.3798875562294576e-06,0.4395449718335243
54,158,3.5646204384971787,0.027577117223919468,1,58,1032,1,58,1,142,40,0.0001410992284116976,0.0014833744867370274,9.563443775579522e-08
55,1,8.862378331247417,0.0013071406539843754,1,1,2,1,1,1,1,40,0.7360238149633236,6.818674429095576e-12,0.2615863608231984
56,403,5.358623649993623,0.5415716365655404,46,121,3580,1,121,1,286,40,2.110372238646225e-06,5.7254732577142635e-09,0.23926426831546732
57,416,2.3601969515023096,0.781856914759491,78,373,3544,1,373,1,296,40,6.297213138616832e-12,1.3411221738722162e-08,0.202845909922242
58,409,6.101890728664622,0.7010095096619973,81,212,3778,1,212,1,167,40,2.17820340088294e-06,7.806666695105576,0.21620556073296782
59,400,2.2335775416775316,0.12098863501457108,103,236,4012,1,236,1,330,40,3.948788516986174e-05,0.34329492900144926,0.19941702849106696
60,373,2.3029339928612376,0.9032229197407063,102,228,4152,1,228,1,196,40,1.4814326041901823e-13,3.22682202357548e-06,0.19348704966401561
61,416,9.40997322570011,0.22259846819014867,128,176,3650,1,176,1,105,40,8.015414398879052e-12,10.0,0.19227794263551765
62,424,10.0,0.18101916393929252,153,331,3748,1,331,1,178,40,0.02424530969256882,1.398884520103539,0.19280768694045514
63,388,7.976126175862534,0.26306504143507875,41,323,3550,1,323,1,213,40,0.1702491410421796,4.6308102266279985,10.0
64,435,6.787243532872226,0.310440342137274,141,97,3548,1,97,1,92,40,0.0015123188223526366,10.0,0.1957668748665349
