iteration,run,score
0,0,0.07584952802169921
0,1,0.3339123040929342
0,2,0.06956490554236419
0,3,0.08130033407772978
0,4,0.31718635681319174
0,5,0.03532243182150208
0,6,0.06371447426535719
0,7,0.1910743773148821
0,8,0.04292846285139809
0,9,0.22321847974236617
0,10,0.05495106679627566
0,11,0.1804938034915093
0,12,0.0276889821175302
0,13,0.05711132851122418
0,14,0.33108536043772874
0,15,0.06802405003176112
0,16,0.05149712894653213
0,17,0.08602279457786764
0,18,0.08478476223130194
0,19,0.2934858801548415
0,20,0.08607912315478936
0,21,0.18611094726621036
0,22,0.8761134421617742
0,23,0.06501069873809955
0,24,0.10286468516688624
0,25,0.12076087543103387
0,26,0.03433698383846062
0,27,0.21783575845502745
0,28,0.14514243352833528
0,29,0.2508178807052288
0,30,0.18027364206936242
0,31,0.015377654472965081
0,32,0.07066575321773456
0,33,0.07444765643445103
0,34,0.082063674761722
0,35,0.10459290904085401
0,36,0.1423665157172892
0,37,0.12635794408895698
0,38,0.10744642532938249
0,39,0.07287682021762291
0,40,0.10023193264835126
0,41,0.05017123643218889
0,42,0.08535026698620508
0,43,0.07579033244500019
0,44,0.2261550109618981
0,45,0.7730315429170149
0,46,0.03127095160251747
0,47,0.12314939954570367
0,48,0.08249709328330115
0,49,0.06083145636682412
1,0,0.041656724661498626
1,1,0.10940631041513532
1,2,0.16204981356407938
1,3,0.10863479632175921
1,4,0.15175665108011557
1,5,0.1634687532075643
1,6,0.025353393865831776
1,7,0.033115112515294746
1,8,0.14706562000143542
1,9,0.08260896455611622
1,10,0.08332527968250053
1,11,0.3942827299464412
1,12,0.09583760329465096
1,13,0.08748350537279334
1,14,0.04370379809838108
1,15,0.23879149289672444
1,16,0.12258647447443675
1,17,0.1300985471732158
1,18,0.07193601134157948
1,19,0.15417314653560116
1,20,0.03820471817015086
1,21,0.09192927098435805
1,22,0.07708079830171673
1,23,0.0960483240635248
1,24,0.2023822580466571
1,25,0.06586384806778652
1,26,0.1408912054644267
1,27,0.10221427667777333
1,28,0.18035646352783416
1,29,0.028203416537150066
1,30,0.033339420376804804
1,31,0.09088977411394017
1,32,0.14224684033357435
1,33,0.04102130721537715
1,34,0.12971603584704583
1,35,0.04697095585343821
1,36,0.08876073783867504
1,37,0.056346235501398056
1,38,0.10236392395799537
1,39,0.19511551681950068
1,40,0.08055998849358861
1,41,0.046693457795657076
1,42,0.01568072368870782
1,43,0.6227910174606841
1,44,0.03508462456716692
1,45,0.4764465970888318
1,46,0.032761902481072185
1,47,0.14970838874008158
1,48,0.040980912155392686
1,49,0.19808062489835854
2,0,0.05450397877610067
2,1,0.03466256160608701
2,2,0.027719939572479695
2,3,0.1570061984432208
2,4,0.15149016615182873
2,5,0.04567252077798578
2,6,0.062332673009632654
2,7,0.017367806577720173
2,8,0.08803734200450128
2,9,0.015178795018896452
2,10,0.05980464332860647
2,11,0.025069770751918723
2,12,0.09888457383033551
2,13,0.04561700248902739
2,14,0.09908052135408549
2,15,0.025461699855990852
2,16,0.07649816081822411
2,17,0.11109563891451338
2,18,0.26669993429515065
2,19,0.08017518943069321
2,20,0.01974776176517945
2,21,0.06755877517313315
2,22,0.038958238543591144
2,23,0.2678568819814946
2,24,0.15046325002527086
2,25,0.07538187245289983
2,26,0.04493306031152732
2,27,0.04995945067657221
2,28,0.058554996675067715
2,29,0.08818287902054245
2,30,0.09310783680483818
2,31,0.03724029817160977
2,32,0.060603255214269874
2,33,0.23275954567007495
2,34,0.05496728826303233
2,35,0.16615983120478767
2,36,0.09069764217244278
2,37,0.13906044658423888
2,38,0.26239941488355323
2,39,0.045524290996670914
2,40,0.03995740743279114
2,41,0.07975668298919193
2,42,0.02742427323445649
2,43,0.08950399430806277
2,44,0.03210127277999851
2,45,0.09569030139148982
2,46,0.04025915275251053
2,47,0.023047822343064808
2,48,0.10431819257522607
2,49,0.33494568862409474
3,0,0.04430656833319956
3,1,0.1589614617355426
3,2,0.0749892933401281
3,3,0.046962812628260804
3,4,0.06524777735909554
3,5,0.06395397832321881
3,6,0.10632229947530548
3,7,0.08301508265222096
3,8,0.06938742001945272
3,9,0.0354787623714864
3,10,0.04071183968186821
3,11,0.05322884748381231
3,12,0.05765201586893475
3,13,0.4440829397031209
3,14,0.10514660840801462
3,15,0.23267980201342905
3,16,0.06181171177065382
3,17,0.059785294251707144
3,18,0.025315604982170795
3,19,0.09785669348275977
3,20,0.06082822936275732
3,21,0.0940187064464087
3,22,0.18044992037917398
3,23,0.0379259254791089
3,24,0.2968525573105373
3,25,0.06553808917723292
3,26,0.11957796988067859
3,27,0.03989208890296858
3,28,0.07179172760644044
3,29,0.1903820080437332
3,30,0.3963983970428092
3,31,0.05336846146789201
3,32,0.06427537897415166
3,33,0.061666185665608976
3,34,0.09538568010896446
3,35,0.07683449408721141
3,36,0.15669470364605823
3,37,0.2716296064101983
3,38,0.0672505031290508
3,39,0.14351166120241182
3,40,0.05062375414982348
3,41,0.025794854525222018
3,42,0.04215289087102875
3,43,0.045478280807545464
3,44,0.04722986642978363
3,45,0.2658634581692496
3,46,0.06131756205638716
3,47,0.0705463093302545
3,48,0.07043358749988989
3,49,0.037138886282932736
4,0,1.4336959135447047
4,1,0.2911614490203884
4,2,1.0236930350970601
4,3,3.2155736994304727
4,4,0.32105309039986385
4,5,1.1056464058922157
4,6,0.3345836325984711
4,7,0.4680749504519587
4,8,0.6823336844908447
4,9,0.7385850088140382
4,10,0.07691836926615205
4,11,0.8361644636588867
4,12,1.3768586050552212
4,13,0.22086463517690627
4,14,0.8438451316055176
4,15,4.049363446890832
4,16,0.28298000634228376
4,17,1.2885359700360253
4,18,0.12957068037326658
4,19,1.493288537280821
4,20,0.8929216443871307
4,21,0.21632411058326795
4,22,0.5039187926269929
4,23,0.17987766119637028
4,24,0.8480025191547853
4,25,0.3315485768795661
4,26,0.1602143891215171
4,27,1.1974397986663048
4,28,0.16928701068231522
4,29,0.8694897105351106
4,30,0.8450576399181589
4,31,0.1023688488067155
4,32,0.2866662044757248
4,33,0.02802827800370364
4,34,0.7315992164684554
4,35,0.5635931663711067
4,36,1.2003992219010653
4,37,0.22492007091616664
4,38,2.7280429573366853
4,39,0.683376679339889
4,40,0.11542274549377951
4,41,0.33493907296797953
4,42,0.4498622073060096
4,43,0.5753288475131911
4,44,0.5333132146057622
4,45,0.45373891518917464
4,46,0.61804582075344
4,47,1.2861602226495596
4,48,0.0850258694456876
4,49,0.3601124336531067
5,0,0.09081249703841368
5,1,0.07948028594332288
5,2,0.1901528839872661
5,3,0.062130156776458056
5,4,0.07868529521016422
5,5,0.0810885299754862
5,6,0.16324441360329212
5,7,0.03843664671833585
5,8,0.09881056536644858
5,9,0.11183149353555229
5,10,0.09267166953365255
5,11,0.0467353258781452
5,12,0.17957865241219922
5,13,0.08315390962189845
