iteration,populationCount,mutationRate,crossOverRate,parentTournamentSize,migrationTournamentSize,offspringCount,islandCount,migrationTournamentSize,islandCount,migrationCount,migrationInterval,tau,tauPrime,adaptationBoundary
20,873,7.350247914384757,0.8066440920313379,53,487,874,1,487,1,552,6158,0.029801032924425153,0.5262293801505497,8.346781051765008e-14
21,824,7.997988528357651,0.809079948471062,62,663,3872,2,663,2,74,8136,10.0,0.4524121155598087,0.0002448502246575249
22,827,7.18151139766407,0.8867587189744522,1,676,828,1,676,1,171,7927,10.0,1.8796773308186963,4.5717256017113904e-08
23,305,3.9312608530916435,0.9155906507572431,25,217,1392,48,217,48,152,2899,4.506598800207364,0.0019280184750591575,0.003385008695738986
24,924,6.813482853143213,0.19378446811819908,76,615,92400,100,615,100,552,7177,2.3745195921091392e-14,2.253686660265701e-10,10.0
25,836,7.083294465152219,0.8326840944271345,68,704,3100,3,704,3,0,8202,10.0,0.43694387343308605,0.0012777762174445747
26,845,8.744764007990158,0.8321562623115363,68,231,1332,3,231,3,822,9048,5.047659394561149e-10,2.054779141820694e-15,0.003349564740319786
27,827,5.706026372983819,0.2835126005797497,73,759,4648,1,759,1,205,8537,1.6407374990617192e-12,10.0,9.345596839921954e-07
28,761,7.6694396983183335,0.3311194878679743,67,71,59900,1,71,1,0,4122,10.0,7.168577354676043e-07,6.859883851743385e-14
29,384,9.175346727513956,0.8346099537462344,31,325,17126,2,325,2,12,6851,1.4410771192135896,3.562386743244704e-09,0.00027109431146504363
30,841,7.8418584555735835,0.7392728319886553,67,719,26994,3,719,3,745,9663,8.672779741065265e-12,3.390399664139703e-06,0.4627802809339339
31,860,5.54185518915649,0.26129418454346837,77,411,1810,1,411,1,769,9702,1e-15,0.0016786067739321504,1.2505078538973833e-09
32,846,7.033014104457806,0.807771262691568,66,722,3160,2,722,2,9,8238,2.3503975191869393,0.5440047609352672,0.001410231863365762
33,938,7.602160167600887,0.8687195958527816,36,826,3382,1,826,1,21,8437,9.177527776044268,0.33072480173627034,0.0628459695142756
34,1000,8.762749350324448,1.0,20,871,3426,1,871,1,14,8532,10.0,0.07897193258354272,5.865566148340027
35,887,9.539466571926587,0.22366848424824648,1,65,3958,1,65,1,641,2449,7.615807839270478e-07,2.6294166087489157,9.14862871717425e-08
36,893,7.636791787977987,0.6116648100481836,19,589,3394,1,589,1,0,5249,10.0,3.121283289680563,8.634816547975286e-05
37,894,3.010496549293196,0.30627315887057005,17,600,3358,1,600,1,57,3769,10.0,0.02467234611575044,6.353830888252166e-12
38,890,8.374911402605823,0.9061905824028293,1,641,3534,45,641,45,665,6920,10.0,9.708129816930466,10.0
39,893,7.475447718508079,0.6185601187589128,10,335,3906,1,335,1,523,4289,5.489791323622809e-06,1.6925072985145846e-09,0.0002669285340411243
40,886,10.0,0.7836818456394984,580,238,3936,1,238,1,674,8801,0.003297997130981147,10.0,9.677994713927473e-15
41,923,9.30168455888926,0.03766810936533263,32,398,3422,1,398,1,71,8668,0.3085251104253826,10.0,4.635620792739039
42,1000,5.0906301663418665,0.9367900749515529,1,210,3240,1,210,1,873,2384,0.00018248928049598812,1.4607418727399922e-15,1.0877648342015008e-05
43,1,0.41474651217997405,0.2749308365189638,1,1,4,1,1,1,0,7204,0.828306975765568,10.0,3.459563285517668e-05
44,964,8.723088298027577,0.6609709768161964,15,839,3452,72,839,72,148,7261,0.05953991357895663,0.33230415464334906,0.014528883539605304
45,1000,8.563911902166051,0.5409997230427941,233,837,3398,1,837,1,460,185,2.083585606885633e-14,10.0,7.291495746632127e-05
46,1000,2.8367139145796387,0.635378334790769,1,130,7780,1,130,1,21,7110,10.0,0.0012448874783191365,3.807310942984417e-08
47,1000,0.24797263622928728,0.33725127412215267,1,931,7584,1,931,1,378,6473,10.0,1.1874867053558399e-15,1.3570517535614796e-05
48,1000,1.5517548544056514,0.424275022209637,1,205,8546,1,205,1,283,6289,1e-15,8.335074510910893e-14,8.215193840190983e-10
49,1000,10.0,0.07529372489440718,1,970,10720,1,970,1,841,76,10.0,10.0,1.6617322299228888e-06
50,1000,5.814002645002644,0.6830723238941989,1,368,3664,1,368,1,27,10000,1.4211568259052272e-07,7.668912839593777e-07,3.587704479988533e-05
51,1000,1.3333710573625002,0.7338464462536132,1,622,3632,1,622,1,20,10000,10.0,0.0012359733019817654,3.5668372553819634e-05
52,1000,0.9068805188692962,0.9133693070374288,1,214,3578,1,214,1,0,10000,0.00146800455348191,6.769674491290272e-07,4.6711570146626594e-05
53,1000,2.816635529598153,0.8120323583487875,314,7,3846,1,7,1,73,10000,3.0736508534412184e-06,3.2554430662454853e-06,1.932111392439667e-05
54,1000,9.33814030194412,0.24716749418011083,1,1,4296,1,1,1,0,4143,4.415823498221905e-07,4.977373015598787e-13,1.2562306676972748e-08
55,995,1.5273464915890391,0.5685344391342314,1,584,3382,1,584,1,0,3919,7.043129345710652e-07,4.6136730203596455e-05,2.9908912451899894e-05
56,920,4.274428871772546,0.25607403232568976,1,1,4540,1,1,1,277,6187,9.68504050990268e-13,4.883009660167302e-10,1.068749518351752e-07
