iteration,run,score
0,0,6.852130633414857
0,1,4.041285853395311
0,2,1.5889409091246804
0,3,1.5272965850753994
0,4,4.914844223684557
0,5,3.227588627502243
0,6,3.518442802049279
0,7,6.88681615535447
0,8,5.724437022349527
0,9,4.484344500962396
0,10,4.083461382364506
0,11,6.082491056561389
0,12,3.3264056650233975
0,13,5.286488353747673
0,14,5.6929424257412045
0,15,4.90467135564799
0,16,2.2097519230175386
0,17,1.8552805514663522
0,18,3.6228289464645167
0,19,3.9046054486230712
0,20,5.5204623579237175
0,21,5.279417568520465
0,22,3.8727759817439953
0,23,4.425513426442058
0,24,3.0307638502350596
0,25,6.087398283954405
0,26,2.9258547236842265
0,27,4.417981988851651
0,28,5.221066443976702
0,29,4.631602954194879
0,30,6.055175667006392
0,31,4.824347594455496
0,32,5.175069350009851
0,33,2.5338798608623048
0,34,1.310740124991149
0,35,6.5654333556174285
0,36,4.248554965554925
0,37,2.9824818307656464
0,38,2.548085889355627
0,39,1.7146478261020306
0,40,1.9308417770381165
0,41,6.63892974628104
0,42,4.247766761757562
0,43,3.068481822866783
0,44,4.702252481936744
0,45,5.88042804520166
0,46,2.981503451625848
0,47,5.340521872422686
0,48,5.128343425254247
0,49,2.499183208946497
1,0,3.906333941261714
1,1,5.690228867198276
1,2,4.000051542997173
1,3,2.978321715094312
1,4,5.470798048183148
1,5,3.0732871780702196
1,6,5.332003247627154
1,7,7.577504449820934
1,8,4.726867032139533
1,9,3.786060305363595
1,10,5.27569805543251
1,11,3.9902943545905734
1,12,4.4864520086061805
1,13,6.47720109819271
1,14,3.2788149141318392
1,15,1.7545515374158551
1,16,2.8242947138795707
1,17,2.892036974098567
1,18,4.213136552053783
1,19,3.4039972544250734
1,20,4.964892429432083
1,21,2.0520915874374133
1,22,4.415632460757719
1,23,5.289591407289264
1,24,4.766458687788649
1,25,4.466963672580561
1,26,5.211963974156355
1,27,3.2756344623313094
1,28,5.2843587887835195
1,29,4.98725292109499
1,30,5.842581133229753
1,31,2.6845645988096924
1,32,4.108194227801285
1,33,3.3950560146694357
1,34,3.400791509912323
1,35,4.512441372278789
1,36,2.4559246524715093
1,37,4.893121897091288
1,38,5.525012292005403
1,39,0.9380900930709348
1,40,5.970609999431026
1,41,5.244341666164806
1,42,4.46957637763505
1,43,3.97692071849216
1,44,4.60504796387286
1,45,4.189604184235126
1,46,4.496107593799781
1,47,7.382681196384136
1,48,4.556032479543864
1,49,3.5979750835841005
2,0,7.369211543954666
2,1,5.603607620876909
2,2,5.549425186603608
2,3,7.545359250359022
2,4,5.558046544664661
2,5,5.697648741855626
2,6,6.6604225264817645
2,7,6.118713579476309
2,8,4.609717520937801
2,9,3.8455410980593765
2,10,5.081099179432315
2,11,4.734004347443818
2,12,5.9143910883230655
2,13,4.918945927982891
2,14,6.436957713791163
2,15,6.8825750591238855
2,16,6.06660679377398
2,17,5.5331883290157045
2,18,6.8613938093349365
2,19,5.887093039272737
2,20,4.346153060385646
2,21,4.536102037596938
2,22,5.069861625853434
2,23,6.1426896650743945
2,24,6.053061775085231
2,25,5.117164972640634
2,26,5.497630956306754
2,27,7.034537454449785
2,28,6.474671566944712
2,29,8.0025738622289
2,30,5.855899991104733
2,31,5.1370857877046285
2,32,5.741362537310007
2,33,5.775779468599392
2,34,5.693069959787435
2,35,4.394668085329302
2,36,4.590673920913336
2,37,4.481230577732368
2,38,4.796409350198295
2,39,7.1272431351377366
2,40,4.404795321264282
2,41,7.134133814411616
2,42,5.5384425765743845
2,43,4.483707137914415
2,44,7.83782251581308
2,45,5.490570520085394
2,46,4.031900105047836
2,47,4.375515334653129
2,48,5.723472895283378
2,49,8.921658702316577
3,0,7.552253980181588
3,1,2.766936071837258
3,2,5.473583839455539
3,3,1.1181892265212063
3,4,5.256377023349891
3,5,7.758751810706691
3,6,8.358943229081797
3,7,3.3796069165717277
3,8,5.657671422579396
3,9,3.7837603668508812
3,10,4.171932061422437
3,11,4.9973010486888745
3,12,3.7525326744488643
3,13,3.106569056092093
3,14,5.422556752831166
3,15,5.83054157480688
3,16,3.6307064782204748
3,17,7.190605471055035
3,18,4.14329907996621
3,19,4.162182873787275
3,20,3.4915784701188795
3,21,5.668676865132968
3,22,2.797556100306763
3,23,3.6746293171443263
3,24,2.8415304599771707
3,25,2.469901976121532
3,26,3.76617396045331
3,27,4.566988372405769
3,28,5.639317269590152
3,29,3.846551269374795
3,30,6.368878282059819
3,31,4.130991107541609
3,32,6.40939874540266
3,33,5.210325026256602
3,34,5.773649199493223
3,35,5.414390025844577
3,36,5.278979698929991
3,37,5.367448988140853
3,38,6.058099113229661
3,39,3.444832452609125
3,40,4.462130284008898
3,41,4.9665066454283
3,42,4.558345834950143
3,43,6.898964626830103
3,44,5.3138910399177455
3,45,4.589303257340871
3,46,4.267770023996893
3,47,4.1283250510687965
3,48,6.903611414823338
3,49,7.053135592525813
4,0,4.455589346015662
4,1,6.491764313414356
4,2,6.87796538533126
4,3,6.638633372207146
4,4,6.287841957748441
4,5,4.267773243111006
4,6,7.131244513315647
4,7,4.185506997900587
4,8,6.841425250719621
4,9,4.301165294765269
4,10,7.277938880277037
4,11,6.42165774116924
4,12,5.787538125278441
4,13,5.4513878135127065
4,14,4.785084704417837
4,15,5.144665391651111
4,16,7.392664371919002
4,17,4.8111605915271225
4,18,4.798145417813869
4,19,4.464125829860979
4,20,6.7968558566252435
4,21,6.478129721112791
4,22,6.060414835501508
4,23,3.640169470903749
4,24,5.032143259525761
4,25,4.918597306036326
4,26,5.674632586780443
4,27,6.1243089812388485
4,28,4.639080754844883
4,29,6.637949393416516
4,30,6.240960193363923
4,31,4.729008154672535
4,32,5.609012666340538
4,33,5.358734130273829
4,34,6.773154328358389
4,35,5.1917707763811585
4,36,5.105920010458682
4,37,5.543137584457186
4,38,5.86777543679665
4,39,6.571682445840301
4,40,6.470792871383836
4,41,5.607300338849891
4,42,7.180034510341714
4,43,7.10975201890068
4,44,7.874223588906947
4,45,4.94030708199956
4,46,6.494961252392152
4,47,5.126532134971314
4,48,5.863027833507082
4,49,6.288974478533569
5,0,6.58954766589866
5,1,6.651021465176465
5,2,6.663290854300077
5,3,7.239544788770948
5,4,6.134751394814192
5,5,7.086098816250257
5,6,5.768916557396404
5,7,8.455930199893642
5,8,6.267036785614202
5,9,6.843828625180814
5,10,6.668252001102183
5,11,7.986200546183806
5,12,5.437538730631325
5,13,7.57678809753917
5,14,6.555047513659035
5,15,6.348218107959553
5,16,6.246454216025119
5,17,6.67574552391607
5,18,5.235649416255998
5,19,5.517042101632022
5,20,6.379576686824085
5,21,7.118444749865871
5,22,7.327879796559154
5,23,5.119885122377225
5,24,6.729360805798259
5,25,7.918024893066489
5,26,5.501678933588334
5,27,6.173912011668717
5,28,7.246842420040477
5,29,6.49001334134554
5,30,8.361759738230068
5,31,6.246781751611889
5,32,7.254216413591842
5,33,5.926514550986905
5,34,7.042049292261829
5,35,7.6244886057532835
5,36,4.85031278871503
5,37,6.026640730421947
5,38,8.16731501725785
5,39,6.377239936825355
5,40,6.251344495048198
5,41,7.767817707343653
5,42,7.402711933226705
5,43,4.517961530593837
5,44,7.620909420396239
5,45,5.9456775352838305
5,46,7.007164748203924
5,47,6.097369733277706
5,48,7.641530441093239
5,49,5.706806571865088
6,0,4.500547170739287
6,1,6.844772855662857
6,2,4.194522356797357
6,3,5.873623584858779
6,4,6.692514123638061
6,5,5.211774193818149
6,6,4.5068148924722875
6,7,6.792449410346522
6,8,7.660414810048932
6,9,7.728323000981867
6,10,5.978449642092214
6,11,8.076645369045588
6,12,8.005619694582627
6,13,5.099318582729064
6,14,6.552082931658736
6,15,5.977373573449563
6,16,3.539430062888199
6,17,6.59877252124663
6,18,5.932381498516221
6,19,8.48231920472051
6,20,3.370420415595489
6,21,4.3083292490008365
6,22,5.312459319362413
6,23,4.243783801358463
6,24,5.226835194874003
6,25,6.660547275820416
6,26,6.094192908504498
6,27,5.307174161648684
6,28,7.1250431288907
6,29,3.718909668204482
6,30,5.94791352981294
6,31,6.3410806945364975
6,32,5.657682762080986
6,33,7.418529929227245
6,34,4.660666138463039
6,35,7.909430348702237
6,36,7.561473778848343
6,37,5.262999439847037
6,38,5.895634355884481
6,39,6.510220748320927
6,40,5.440755176184346
6,41,6.623876944929847
6,42,5.65352409042564
6,43,5.435782568680642
6,44,6.014118408370106
6,45,8.065052930711772
6,46,5.657829792832029
6,47,6.986275643720816
6,48,5.0186396491104235
6,49,5.331277095275038
7,0,1.6079030162935588
7,1,3.0839367228186996
7,2,6.95509519948638
7,3,6.474065185618603
7,4,3.0626707270678724
7,5,2.0566605198686343
7,6,0.031456286118531906
7,7,3.4940142430091248
7,8,0.0
7,9,5.8466799742226065
7,10,3.7715189900328454
7,11,0.0
7,12,2.387967431841397
7,13,4.057602508945318
7,14,0.568598897233235
7,15,0.0
7,16,4.682658874489759
7,17,2.4463917211466217
7,18,0.0
7,19,2.4687797772628715
7,20,4.155391099546569
7,21,4.778913987434618
7,22,2.7398891522015125
7,23,2.127925127660781
7,24,4.358186135779808
7,25,5.745041597975304
7,26,0.0
7,27,1.9149997119206699
7,28,3.04483436980388
7,29,0.0
7,30,4.164678868893432
7,31,3.927753034975412
7,32,5.7125723851007795
7,33,2.315335712112568
7,34,1.8164380970508294
7,35,4.328599549496239
7,36,2.760823754054673
7,37,3.797853187201067
7,38,5.169453337645318
7,39,1.8293221259888846
7,40,2.0735666419886236
7,41,0.2970852123703196
7,42,4.814805946469055
7,43,0.4002211814932348
7,44,0.0
7,45,3.097930147090114
7,46,0.6052333660616256
7,47,0.0
7,48,3.000572417946743
7,49,4.327469557850325
8,0,2.470390128808826
8,1,0.0
8,2,0.0
8,3,0.0
8,4,0.0
8,5,0.0
8,6,0.0
8,7,0.0
8,8,0.0
8,9,0.0
8,10,0.0
8,11,0.0
8,12,1.79040338311275
8,13,0.0
8,14,0.0
8,15,0.0
8,16,0.0
8,17,0.0
8,18,1.5582344621367277
8,19,1.6427180790776408
8,20,0.0
8,21,1.6984322633511084
8,22,0.0
8,23,6.2025815892914595
8,24,0.0
8,25,0.0
8,26,1.0834846504716396
8,27,0.6918704272242859
8,28,0.0
8,29,0.0
8,30,0.0
8,31,0.5076647635935991
8,32,0.0
8,33,0.0
8,34,0.0
8,35,0.0
8,36,0.0
8,37,0.0
8,38,0.026794300126883996
8,39,1.1361021805218439
8,40,0.0
8,41,0.0
8,42,0.8505505001692519
8,43,0.0
8,44,0.0
8,45,0.023120731520808846
8,46,0.0
8,47,0.0
8,48,0.0
8,49,0.0
9,0,0.0
9,1,3.7127593440919684
9,2,7.763996309506638e-05
9,3,0.0
9,4,5.967572739724243
9,5,6.092011932325008
9,6,2.7750220928823968
9,7,2.7739816891534854
9,8,1.1421556847837362
9,9,0.8122016018730989
9,10,2.3096003107959593
9,11,1.2340487355529302
9,12,7.080075917399969
9,13,3.5492036835412257
9,14,3.920431661671566
9,15,1.2596985713690785
9,16,0.4492450610214984
9,17,0.0
9,18,4.543635919133501
9,19,6.409244053058568
9,20,6.7494974682237
9,21,0.0
9,22,7.3947086413590455
9,23,5.375946870187015
9,24,5.057071197288999
9,25,0.7873235457361663
9,26,2.452451011952565
9,27,0.5362023172144994
9,28,2.963207549917266
9,29,5.144937434821697
9,30,4.4780334343482355
9,31,6.799196168577582
9,32,2.933792507951174
9,33,2.1615414938351787
9,34,5.834823594644859
9,35,6.592260416426231
9,36,1.2769491227116827
9,37,0.0
9,38,4.744227184771667
9,39,6.873420693703444
9,40,4.584513446629634
9,41,1.8980599441210568
9,42,3.981396630149961
9,43,2.9096881342257213
9,44,6.901870525570385
9,45,3.86174572106592
9,46,7.6138395759127615
9,47,1.3796564987464741
9,48,3.194499736710882
9,49,5.562675428337219
10,0,6.505160149424093
10,1,8.583252628010186
10,2,7.401040828015088
10,3,6.811112421729222
10,4,6.830897948256842
10,5,6.34463853112044
10,6,8.093550743462183
10,7,6.813323509666921
10,8,6.882062781533205
10,9,8.216764301920769
10,10,5.059586830584037
10,11,6.729910081480357
10,12,7.206214528133768
10,13,7.038374801781254
10,14,6.407636301348653
10,15,7.10640830090278
10,16,5.059301938312457
10,17,7.108713189898288
10,18,6.5295612660124975
10,19,8.028420490208541
10,20,7.20297932212448
10,21,5.143381425015284
10,22,6.462626510025684
10,23,6.657404213095092
10,24,7.552809051178233
10,25,6.546111840405542
10,26,4.382658507860976
10,27,6.2648337799229274
10,28,7.2258627141058085
10,29,5.166904250397326
10,30,7.4270957382478064
10,31,5.009316446015882
10,32,6.416399752170122
10,33,6.446516528916761
10,34,6.549284439662792
10,35,6.501227698101619
10,36,6.440444734970216
10,37,6.244471009430221
10,38,7.187365955980486
10,39,4.792675890668672
10,40,8.064042317753454
10,41,5.575542159404933
10,42,6.911992607729288
10,43,8.119604506488686
10,44,6.008459436347777
10,45,6.712673676077133
10,46,6.8455716693351825
10,47,6.687263438503018
10,48,5.982825099139385
10,49,6.761473698003472
11,0,5.909344662285565
11,1,5.468762885728002
11,2,6.775279530755791
11,3,6.901237136868078
11,4,8.296275226465418
11,5,6.55014267842961
11,6,5.458382591432198
11,7,7.229817940799919
11,8,5.778436477222924
11,9,5.311731014649286
11,10,6.301005849448934
11,11,5.672523966742294
11,12,7.084502992805325
11,13,4.288967233954958
11,14,5.992866822294417
11,15,7.019533371038514
11,16,6.915776499452527
11,17,5.516220389378265
11,18,5.801136227228395
11,19,7.452364664833253
11,20,7.20647703551867
11,21,5.959070974523471
11,22,5.321378278376993
11,23,5.449554754232134
11,24,5.715052743376632
11,25,6.347985478890435
11,26,7.98006554798046
11,27,7.892622403207383
